location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Asahikawa,43.760983,142.3414,117.0,0,GMT,GMT
1,Furano,43.33919,142.41017,172.0,0,GMT,GMT
2,Nayoro,44.32337,142.4312,97.0,0,GMT,GMT
3,Shimukappu,43.128292,142.71237,801.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
0,2021-09-26,18.7,7.6,0.00,0.00,0.00,0.0,6.6,16.2
0,2021-09-27,21.8,9.2,0.00,0.00,0.00,0.0,8.1,19.4
0,2021-09-28,20.8,11.5,0.00,0.00,0.00,0.0,13.7,29.2
0,2021-09-29,21.3,15.6,16.10,16.10,0.00,9.0,24.1,50.0
0,2021-09-30,20.0,14.2,13.60,13.60,0.00,11.0,23.4,60.1
0,2021-10-01,22.9,15.1,7.70,7.70,0.00,10.0,9.4,19.4
0,2021-10-02,16.9,10.5,3.80,3.80,0.00,11.0,15.7,37.4
0,2021-10-03,19.1,11.4,2.10,2.10,0.00,6.0,27.7,57.2
0,2021-10-04,20.8,9.7,26.20,26.20,0.00,16.0,27.7,78.5
0,2021-10-05,15.2,6.8,0.90,0.90,0.00,5.0,8.3,22.0
0,2021-10-06,14.2,6.1,0.10,0.10,0.00,1.0,20.3,42.5
0,2021-10-07,14.9,9.0,1.90,1.90,0.00,4.0,9.0,20.2
0,2021-10-08,16.1,6.4,0.50,0.50,0.00,5.0,14.6,32.4
0,2021-10-09,18.5,7.8,0.00,0.00,0.00,0.0,12.6,27.4
0,2021-10-10,20.7,13.9,43.60,43.60,0.00,14.0,28.6,67.7
0,2021-10-11,14.9,6.4,1.30,1.30,0.00,6.0,16.9,42.8
0,2021-10-12,15.6,5.2,0.00,0.00,0.00,0.0,8.7,18.4
0,2021-10-13,17.2,4.5,0.00,0.00,0.00,0.0,13.5,24.8
0,2021-10-14,17.8,12.6,7.10,7.10,0.00,9.0,13.6,30.2
0,2021-10-15,15.3,4.7,2.20,2.20,0.00,4.0,23.0,48.6
0,2021-10-16,13.5,3.8,26.80,23.90,2.03,12.0,19.1,46.4
0,2021-10-17,5.6,0.6,7.20,2.50,3.29,15.0,19.3,43.9
0,2021-10-18,8.0,-0.5,0.20,0.20,0.00,2.0,17.6,37.1
0,2021-10-19,12.8,6.7,10.30,10.30,0.00,11.0,20.9,44.3
0,2021-10-20,8.3,5.6,17.20,17.20,0.00,24.0,19.8,41.8
0,2021-10-21,4.3,2.2,14.70,13.70,0.70,17.0,9.6,19.1
0,2021-10-22,9.7,1.5,2.50,2.50,0.00,9.0,7.7,20.5
0,2021-10-23,8.5,2.5,0.50,0.50,0.00,4.0,10.8,24.8
0,2021-10-24,14.2,4.1,0.00,0.00,0.00,0.0,19.6,40.3
